textSigns	count	percent	histogram
500m	43	0.00	
ma t/m vr	43	0.00	
wegsleepregeling van kracht;alleen bezoekers en medewerkers	43	0.00	
ma t/m vr 06-19h	43	0.00	
150 m;uitgezonderd	43	0.00	
uitgezonderd;uitgezonderd bestemmingsverkeer	43	0.00	
na 25 m	42	0.00	
;opladen elektrisch voertuig	42	0.00	
;;Opladen elektrische voertuigen;10.00-22.00 h	42	0.00	
UITRIT BRANDWEER	42	0.00	
Algemeen	42	0.00	
na 400 m	42	0.00	
Let op!	42	0.00	
Bij gladheid wordt er niet gestrooid	42	0.00	
1e t/m 15e van de maand	41	0.00	
bij groen één voertuig	40	0.00	
;10.00-22.00 h;Opladen elektrische voertuigen;2x	40	0.00	
uitsluitend opladen elektrische auto's	40	0.00	
glad wegdek	40	0.00	
honden aan de lijn	40	0.00	
SCHOOLZONE LET OP!	40	0.00	
uitgezonderd snorfietsen	40	0.00	
;10.00-22.00 h;Opladen elektrische voertuigen;	40	0.00	
Fietsers toegestaan	40	0.00	
toegestaan taxi 2009 en jonger	40	0.00	
parkeren uitsluitend in de vakken	40	0.00	
betaal bij parkeerautomaat	40	0.00	
max. 15 min.	40	0.00	
fietsen toegestaan snorfietsen niet	39	0.00	
fietsen toegestaan voor snorfietsen verboden	39	0.00	
uitgezonderd fietsers en vergunninghouders	39	0.00	
OPLADEN ELEKTRISCHE VOERTUIGEN	39	0.00	
videobewaking	39	0.00	
uitruk brandweer	39	0.00	
rechts gaat voor	39	0.00	
;10.00-22.00 h;opladen elektrische voertuigen	39	0.00	
40 m	39	0.00	
uitgezonderd;uitgezonderd brommobielen	39	0.00	
geldt ook voor de berm	39	0.00	
bussluis	39	0.00	
beweegbaar obstakel	38	0.00	
ma	38	0.00	
ma t/m za 08.00-18.00 h	38	0.00	
Gevaarlijke berm	38	0.00	
Obstakels	38	0.00	
maandag t/m zaterdag 10.00-17.30 h donderdag 17.30-21.00 h	38	0.00	
wegsleepregeling van kracht;MyWheels	38	0.00	
hier mogen GEEN honden Kinderspeelplaats	38	0.00	
;2x	38	0.00	
bij file bus op vluchtstrook	38	0.00	
veeroosters	37	0.00	
Parkeren op eigen risico	37	0.00	
ma t/m vr 08.00-16.00 h	37	0.00	
uitgezonderd bestemmingsverkeer;;	37	0.00	
STAPVOETS RIJDEN	37	0.00	
fietsen toegestaan brom- en snorfietsen niet	37	0.00	
autodata	37	0.00	
Gratis parkeren voor max. 3 uur	37	0.00	
6-19h;6-19 h	37	0.00	
dagkaarten toegestaan	37	0.00	
uitrit vrijhouden	36	0.00	
;Opladen elektrische auto's	36	0.00	
ma t/m za 8-18 h vr 8-21 h	36	0.00	
16e t/m 31e van de maand	36	0.00	
modder	36	0.00	
m.u.v. aanwonenden	36	0.00	
Let op	36	0.00	
6-19h;6-19h	36	0.00	
;;onleesbaar	36	0.00	
opladen elektrische voertuigen;;	36	0.00	
