rvvCode; blackCode; zoneCode; textSigns;;;naam;blackCode;Zonebord;Soort onderbord;atrtribuutnaam 1;Waarde 1;atrtribuutnaam 2;Waarde 2;atrtribuutnaam 3;Waarde 3;atrtribuutnaam 4;Waarde 4;atrtribuutnaam 5;Waarde 5;atrtribuutnaam 6;Waarde 6;atrtribuutnaam 7;Waarde 7
B5;;;";Voorrangsstuaite Gewijzgd";;;B5;;;vrije tekst;omschrijving;";Voorrangsstuaite Gewijzgd";;;;;;;;;;;;
B7;;;";Wachten tot weegbrug vrij is";;;B7;;;vrije tekst;omschrijving;";Wachten tot weegbrug vrij is";;;;;;;;;;;;
B6;;;00 m;;;B6;;;vrije tekst;omschrijving;00 m;;;;;;;;;;;;
B7;;;1 mrt t/m 31 okt 10.00-19.00 uur;;;B7;;;Tijdstipaanduiding;Starttijd;10:00:00;Eindtijd;19:00:00;;;;;;;;;;
B7;;;1 mrt t/m 31 okt 10.00-19.00 uur;;;B7;;;Datumaanduiding;Startdatum;1-mrt;Einddatum;31-okt;;;;;;;;;;
B6;;;10 m;;;B6;;;Werkingslengte;Werkingslengte;10;;;;;;;;;;;;
B6;;;"10 m;";;;B6;;;Werkingslengte;Werkingslengte;10;;;;;;;;;;;;
B6;;;10 Mtr;;;B6;;;Werkingslengte;Werkingslengte;10;;;;;;;;;;;;
B6;;;100  m;;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;100 l m;;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B1;;;100 m;;;B1;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B2;;;100 m;;;B2;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B3;;;100 m;;;B3;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B4;;;100 m;;;B4;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B5;;;100 m;;;B5;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;100 M;;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;100 m;;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B7;;;100 m;;;B7;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;100 m 2x;;;B6;;;Vrije tekst;Omschrijving;2x;;;;;;;;;;;;
B6;;;100 m 2x;;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B2;;;100 M.;;;B2;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B4;;;100 m.;;;B4;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;100 m.;;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B5;;;"100 m;";;;B5;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 M;";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;100 m";;;B6;;;Vrije tekst;Omschrijving;"100 m;100 m";;;;;;;;;;;;
B6;;;"100 m;75 m";;;B6;;;Vrije tekst;Omschrijving;"100 m;75 m";;;;;;;;;;;;
B6;;;"100 m;alleen hoofarijbaan";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;Alleen voor de hoofdrijbaan";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;alleen voor hoofdrijbaan";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;Boerderijwinkel";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;FIETSERS OVERSTEKEN";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;Gevaarlijke oversteek";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;gevaarlijke oversteek";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;let op! verhoogde baanscheiding";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;onleesbaar";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;pas op overstekende fietsers";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;STARTENHUIZEN";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;STOP";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;"100 m;STOP";;;B6;;;vrije tekst;omschrijving;STOP;;;;;;;;;;;;
B6;;;"100 m;verhoogde baanscheiding";;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B2;;;100 meter;;;B2;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;100 meter;;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;100 mtr.;;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;1000 m;;;B6;;;Werkingslengte;Werkingslengte;1000;;;;;;;;;;;;
B2;;;100m;;;B2;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;100M;;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;100m;;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;100m ;;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
B6;;;100m.;;;B6;;;Werkingslengte;Werkingslengte;100;;;;;;;;;;;;
