rvvCode; blackCode; zoneCode; textSigns;;;naam;blackCode;Zonebord;Soort onderbord;
C2;;;geldt alleen voor LIDL;;;C2;;;vrije tekst;
C21;35;;"500m;Brug Heike www.eersel.nl";;;C21;;;;
C6;;;160 m;;;C6;;;;
C20;0.6;;;;;C20;;;;
C2;;;FIETSERS OVERSTEKEN;;;C2;;;vrije tekst;
C18;2.2;;na 300 m.;;;C18;;;;
C7;;;UITGEZONDERD LADEN EN LOSSEN GLAS SLIJPSERVICE;;;C7;;;"uitgezonderd; lengte na";
C2;;;"Na 500 m;uitgezonderd";;;C2;;;"Uitgezonderd; lengte na; ";
C2;;;ma. t/m za. 09.00-18.00 h do. en andere koopavonden tevens 18.00-21.00 h;;;C2;;;tijden;
C4;R;;"uitgezonderd;LET OP niet voeren";;;C4;;;uitgezonderd, vrije tekst;
C12;;;zondag 0.00-24.00 uitgezonderd bewoners en exploitatie percelen;;;C12;;;Dagaanduiding, tijdstipaanduiding, uitgezonderd;
C3;;;uitgezonderd 19.00 - 08.00 h;;;C3;;;uitgezonderd;
C1;;;"uitgezonderd bestemmingsverkeer;en washal";;;C1;;;uitgezonderd;
C19;3.6;;;;;C19;;;;
C20;4.8;;na 1 km;;;C20;;;;
C3;;;"na 50 m;uitgezonderd";;;C3;;;"uitgezonderd; lengte na";
C12;;;7;00-09;00h 16;C12;"00 h;200 m";;;
C1;;;uitgezonderd N.A.M.;;;C1;;;uitgezonderd;
C19;2.1;;MAXIMALE DOORRIJHOOGTE;;;C19;;;;
C1;;;onleesbaaar;;;C1;;;vrije tekst;
C1;;;uitgezonderd ZRD;;;C1;;;uitgezonderd;
C17;7;;van ma. t/m za. van 09.00-18.00h op do. tot 21.00h;;;C17;;;;
C6;;;"na 400 m;uitgezonderd ontheffinghouders";;;C6;;;"uitgezonderd; lengte na";
C19;2.5;;1;3km;;C19;;;;
C19;3.8;;na 250 m;;;C19;;;Lengte na;
C12;;;van 22.00 - 6.00 u slagboom;;;C12;;;;
C2;;;uitgezonderd kantinedienst;;;C2;;;uitgezonderd;
C7;;;M.U.V Leveranciers Land van Horne;;;C7;;;;
C19;3.1;;350m;;;C19;;;;
C4;L;;Donderdag 06.00h t/m 14.30h;;;C4;;;;
C4;L;;uItgezonderd (bron) fietsers;;;C4;;;uitgezonderd;
C2;;;"ma t / m vr 8 - 16 h;uitgezonderd";;;C2;;;Dagaanduiding, tijdstipaanduiding, uitgezonderd;
C2;;;"wegsleepregeling van kracht;is hier verboden voor onbevoegden";;;C2;;;vrije tekst;
C7;;;Achterzijde;;;C7;;;;
C22a(Zone);;;"voor vrachtauto's;voor dieselauto's van voor 01.01.2001";;;C22a(Zone);;;;
C7;;;uitgezonderd landbouwverkeer na 90 m;;;C7;;;"uitgezonderd; lengte na";
C18;2.2;;Doogaand vrachterkeer gestremd;;;C18;;;;
C19;2.38;;;;;C19;;;;
C12;;;"uitgezonderd bestemmingsverkeer;150m";;;C12;;;werkingslengte, uitgezonderd;
C9;;;300 m;;;C9;;;;
C6;;;uitgezonderd bewoneers en leveranciers;;;C6;;;uitgezonderd;
C12;;;uitgezonderdaanwonenden en (onleesbaar)aanliggende percelen;;;C12;;;uitgezonderd;
C1;;;Uitgezonderd Lijnbussen (Brom)fietsen;;;C1;;;uitgezonderd;
C3;;;"uitsluitend toegang bezoekers ""Hofvan Hoorn""";;;C3;;;uitsluitend;
C20;4.8;;100 m;;;C20;;;;
C1;;;uitgezonderd vergunning- houders en leveranciers;;;C1;;;uitgezonderd;
C6;;;"100 m;Viswater E.V.H.V. De Winde Velp";;;C6;;;;
C1;;;Wo. 19.00 h t/m Do 15.00 h;;;C1;;;"dagaanduiding;tijdstipaanduiding";
C20;2.4;;300m;;;C20;;;;
C2;;;Uitgezonderd voertuig huisvuilophaaldienst;;;C2;;;uitgezonderd;
C2;;;m.u.v. voertuigen langer dan 10m. metbestemming Rosada;;;C2;;;vrije tekst;
C7;;;uitgezonderd tbv laden en lossen Grotebrugse Grintweg nr. 111- 223 en 162- 236;;;C7;;;uitgezonderd;
C2;;;OB52;;;C2;;;uitgezonder fietsen symbool;
C2;;;GELIEVE HET TERREIN NIET TE BETREDEN onleesbaar;;;C2;;;vrije tekst;
C1;;;dinsdag 04 - 16 h;;;C1;;;"dagaanduiding;tijdstipaanduiding";
C20;2.5;;125m;;;C20;;;;
C18;2.2;;";na 1200m";;;C18;;;;
