naam,bovenliggend,Omschrijving,attribuut,eenheid,datatype,waarde
OB614,Waarschuwingsonderbord,Slecht wegdek,Omschrijving,,,Slecht wegdek,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OB620,Waarschuwingsonderbord,Asverspringingen,Omschrijving,,,Asverspringingen
OB621,Waarschuwingsonderbord,Verhoogde rijbaanscheiding,Omschrijving,,,Verhoogde rijbaanscheiding
OB622,Waarschuwingsonderbord,Uitrit,Omschrijving,,,Uitrit
Verhoogde rijbaanscheiding,Waarschuwingsonderbord,Onderbord met waarschuwing voor verhoogde rijbaanscheiding,Omschrijving,,,Verhoogde rijbaanscheiding
Afrit,Wegtyperingsonderbord,Onderbord met aanduiding van rijbaantype afrit,Omschrijving,,,Afrit
Eigen weg,Wegtyperingsonderbord,Eigen weg,Omschrijving,,,
OB617,Wegtyperingsonderbord,Verhoogde overweg met overwegnummer,Omschrijving,,,Verhoogde overweg met overwegnummer
OB618,Wegtyperingsonderbord,Bussluis,Omschrijving,,,Bussluis
OB619,Wegtyperingsonderbord,Busbaan,Omschrijving,,,Busbaan
OB626,Wegtyperingsonderbord,Korte invoegstrook,Omschrijving,,,Korte invoegstrook
Verboden toegang,Wegtyperingsonderbord,Onderbord dat aangeeft dat het een niet-openbare priv�weg betreft,Omschrijving,,,verboden toegang
Verboden voor onbevoegden,Wegtyperingsonderbord,Onderbord dat aangeeft dat het een niet-openbare priv�weg betreft,Omschrijving,,,verboden voor onbevoegden

