rvvCode; blackCode; zoneCode; textSigns;;;;;;Naam; Snelheid;Zonebord;Soort onderbord;atrtribuutnaam 1;Waarde onderbord 1;atrtribuutnaam 2;Waarde onderbord 2
A3;;;300 m;;;;;;A3;;;Werkingslengte;werkingslengte;300;;
A4;50;;300 m;;;;;;A4;50;;Werkingslengte;werkingslengte;300;;
A4;60;;300 m;;;;;;A4;60;;Werkingslengte;werkingslengte;300;;
A2(Zone);30;;325 m;;;;;;A2;30;Zone;Werkingslengte;werkingslengte;325;;
A1;90;;3600 m;;;;;;A1;90;;Werkingslengte;werkingslengte;3600;;
A1(Zone);30;;362-480;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;362-480;;
A1;15;;3x drempels;;;;;;A1;15;;Waarschuwing;Omschrijving;3x drempels;;
A1;15;;40 m;;;;;;A1;15;;Werkingslengte;werkingslengte;40;;
A1(Zone);30;;482-604;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;482-604;;
A1;60;;50 m;;;;;;A1;60;;Werkingslengte;werkingslengte;50;;
A1(Zone);60;;50 m;;;;;;A1;60;Zone;Werkingslengte;werkingslengte;50;;
A2(Zone);30;;50 m;;;;;;A2;30;Zone;Werkingslengte;werkingslengte;50;;
A3;;;50 m;;;;;;A3;;;Werkingslengte;werkingslengte;50;;
A4;40;;500 m;;;;;;A4;40;;Werkingslengte;werkingslengte;500;;
A4;80;;500 m;;;;;;A4;80;;Werkingslengte;werkingslengte;500;;
A4;40;;500 mtr;;;;;;A4;40;;Werkingslengte;werkingslengte;500;;
A4;80;;550 m;;;;;;A4;80;;Werkingslengte;werkingslengte;500;;
A1(Zone);30;;590 - 604;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;590 - 604;;
A4;40;;5X;;;;;;A4;40;;Vrije tekst;Omschrijving;5X;;
A1;100;;6 - 19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6 - 19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6 - 19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6 - 19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6 - 19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6 - 19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6 - 19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6 - 9 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6 19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6 -19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;120;;6 -19 h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6- 19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1(Zone);30;;60 m;;;;;;A1;30;Zone;Werkingslengte;werkingslengte;60;;
A3;;;600 m;;;;;;A3;;;Werkingslengte;werkingslengte;600;;
A3;;;600 m;;;;;;A3;;;Werkingslengte;werkingslengte;600;;
A3;;;600 m;;;;;;A3;;;Werkingslengte;werkingslengte;600;;
A3;;;600m;;;;;;A3;;;Werkingslengte;werkingslengte;600;;
A1(Zone);30;;606 - 742;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;606 - 742;;
A1;100;;6-10h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;10:00:00
A1;100;;6-19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;120;;6-19 h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;120;;6-19 h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-199h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;;;6-19h;;;;;;A1;;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;;;6-19h;;;;;;A1;;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
